(Sometimes it is cheaper to buy larger quantities because most components are much cheaper starting from a minimum order of 10.)

No.,Quantity,Footprint,Value,Price,Link,
1,3,0805,green led,2.91 CZK,https://www.tme.eu/cz/details/ltst-c171kgkt/diody-led-smd-barevne/liteon/,
2,3,0805,blue led,4.58 CZK,https://www.tme.eu/cz/details/ltst-c170tbkt/diody-led-smd-barevne/liteon/,
3,4,SI2300,,24.78 CZK,https://www.tme.eu/cz/details/si2300ds-t1-ge3/tranzistory-s-kanalem-n-smd/vishay/,
4,1,battery connector,S2B-PH-K-S, 8.71 CZK,https://www.tme.eu/cz/details/s2b-ph-k-s/signalove-konektory-raster-2-00mm/jst/s2b-ph-k-s-lf-sn/,
5,15,0805,100nF,4.15 CZK,https://www.tme.eu/cz/details/cc0805krx7r9bb104/kondenzatory-mlcc-smd/yageo/,
6,10,0805,220Ω,2.20 CZK,https://www.tme.eu/cz/details/rc0805fr-07220r/rezistory-smd/yageo/rc0805fr-07220rl/,
7,12,0805,150Ω,3.42 CZK,https://www.tme.eu/cz/details/rc0805fr-07150r/rezistory-smd/yageo/rc0805fr-07150rl/,
8,10,0805,4.7kΩ,2.68 CZK,https://www.tme.eu/cz/details/wr08x4701ftl/rezistory-smd/walsin/,
9,12,0805,10kΩ,2.68 CZK,https://www.tme.eu/cz/details/wr08x1002ftl/rezistory-smd/walsin/,
10,4,Diode,4A,8.29 CZK,https://www.tme.eu/cz/details/1n4148w-dio/univerzalni-diody-smd/diotec-semiconductor/1n4148w/,
11,1,PCB,,178.50 CZK shipping included,jlcpcb.com,
12,1,MPU-9250,,537.37 CZK shipping included,https://www.aliexpress.com/item/1005010383388450.html?spm=a2g0o.productlist.main.1.2fd7376aURtawg&algo_pvid=94d92040-276d-4c7b-84aa-740c51ef5650&algo_exp_id=94d92040-276d-4c7b-84aa-740c51ef5650-0&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.14%212.57%21%21%2135.99%2117.99%21%40211b6c1917661662491724482e36fd%2112000052222347345%21sea%21CZ%213710079410%21X%211%210%21n_tag%3A-29919%3Bd%3A70d342fd%3Bm03_new_user%3A-29895&curPageLogUid=Mn8aJqoCfJh2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010383388450%7C_p_origin_prod%3A,
13,1,XIAO esp32 s3,,305.26 CZK shipping included,https://www.aliexpress.com/item/1005007341749305.html?spm=a2g0o.productlist.main.2.333e2d96MABIBj&algo_pvid=8671fb71-8f24-4a77-a844-4bf9c4070564&algo_exp_id=8671fb71-8f24-4a77-a844-4bf9c4070564-48&pdp_ext_f=%7B%22order%22%3A%22463%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.73%219.78%21%21%21152.05%2168.42%21%40211b6c1917661665030525537e36f4%2112000049937642751%21sea%21CZ%213710079410%21X%211%210%21n_tag%3A-29919%3Bd%3A70d342fd%3Bm03_new_user%3A-29895&curPageLogUid=FbCHfTs2ILTB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007341749305%7C_p_origin_prod%3A,
14,1,,,197.41 CZK shipping included,https://www.aliexpress.com/item/1005009210770647.html?spm=a2g0o.cart.0.0.786838daE084Ar&mp=1&pdp_npi=5%40dis%21USD%21USD%2010.12%21USD%209.50%21%21USD%209.50%21%21%21%402103891017662500520922149ee5f3%2112000048322544475%21ct%21CZ%213710079410%21%211%210,
,,,,1282.94 CZK + 110 CZK shipping for parts from tme,,
,,,,67.03 USD total,,
